embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,13,0.5995623423356632,0.9297380601560914,0.5609152022207035,0.7036024646818525,0.6666657875517176,0.08407298489281678,1.0,0.5321830945148253,0.039925435871585924,1.0,1044
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,38,0.4300700933506182,0.9672440693438574,0.4129805919103918,0.639444686362971,0.460360214583115,0.0,1.0,0.41511739562808225,0.0,0.9308072911298437,1044
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,120,0.37209777231235697,0.9884397979177405,0.36469294278343817,0.5318415004322239,0.382735441086843,0.0,1.0,0.3695811857423796,0.0,0.9044520881965674,1044
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,350,0.24566496778959218,0.9953193416880568,0.23189472363917016,0.34184550243879863,0.3170892323972281,0.0,0.9613918965984936,0.35679890171763234,0.0,0.9225876851631947,1044
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,5,0.6071672271591049,0.7350507895682236,0.4099400269014132,0.5869428302608791,0.7483737663960333,0.16127149289051879,1.0,0.5541805146109765,0.05671204930105733,1.0,1082
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,13,0.46610890698131136,0.8974333609278706,0.4075533061645099,0.599369445107798,0.5148470078453377,0.0,1.0,0.4160680628355889,0.0,0.845709241052981,1082
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,38,0.3792714159393248,0.9633843051296336,0.3598319587614068,0.5918745111745154,0.3676003838867127,0.0,1.0,0.3194008564936165,0.0,0.7874678004841814,1082
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,120,0.29794351964896637,0.9876761755012574,0.2913564654448873,0.46143303566257127,0.31067313757773185,0.0,0.9806490822884413,0.28112995129727936,0.0,0.7535759185403046,1082
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,350,0.1527571280396237,0.9959909823134635,0.1499934976009506,0.19955495781472946,0.21974905562386526,0.0,0.7627305603413591,0.2740004907192732,0.0,0.7779577085444558,1082
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,5,0.5357195748471348,0.6060541373583177,0.25387749039823604,0.46398414169109004,0.7724782594498417,0.15524251077548645,1.0,0.5682967443107503,0.05280558525614165,1.0,1212
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,13,0.4780794598121821,0.8280061992256175,0.35126489584761095,0.6012948911954625,0.5498433861542401,0.0,1.0,0.4426197860708829,0.0,0.9134624371033466,1212
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,38,0.3493393747623826,0.8963538765118422,0.24226553796080752,0.6081335126367697,0.3989523823525923,0.0,1.0,0.37462351455669624,0.0,0.8477336100824071,1212
