embedding_model,reduction_method,reduction_params,cluster_method,cluster_params,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.5}",Agglomerative,{},58,0.2351269593943572,0.9166301478298834,0.16047739530969524,0.4486964978417978,0.3808685405828514,0.3563621941170112
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.5}",Agglomerative,{},72,0.1840355958149968,0.9140334341171622,0.11266003956864462,0.4084268220043098,0.3941894141858543,0.4195669385058386
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.5}",HDBSCAN,{},58,0.2536928295741951,0.875975501776978,0.1860543576537981,0.4252359623771515,0.2888932060725269,0.26874691407726403
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.5}",HDBSCAN,{},72,0.28299266424118064,0.8838798917899943,0.21977109581170465,0.4138159830503635,0.31467870997648223,0.43800835867861193
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.01}",Agglomerative,{},58,0.23899693210774298,0.9171328428792349,0.16303345159130816,0.4568468350218691,0.43216511877374475,0.40029881029588116
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.01}",Agglomerative,{},72,0.19489647109791747,0.9152420240004243,0.11969928274914178,0.4231327496957758,0.4699271332803465,0.4035252548839607
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.01}",HDBSCAN,{},58,0.30020872648730434,0.901809620571326,0.24439418618220243,0.4774232007843432,0.37535866558693326,0.35898512277942235
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.01}",HDBSCAN,{},72,0.2846672224025355,0.9098249952056275,0.22482570454031353,0.4543695669693803,0.39671390160178366,0.45138736710664223
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.1}",Agglomerative,{},58,0.24230984088950522,0.9171720139220415,0.1665863702073766,0.4609169069197567,0.4538276809286488,0.40544345504307444
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.1}",Agglomerative,{},72,0.1967009052096479,0.915556208406269,0.12041953522820449,0.4252153699845411,0.4707136490941518,0.41353151618455625
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.1}",HDBSCAN,{},58,0.2989110498520357,0.9054851700880124,0.2429778091224701,0.46608153580179945,0.35047163557686983,0.33299365041983003
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.1}",HDBSCAN,{},72,0.25798155001875234,0.9018618486284015,0.19990448946501221,0.42950377091545483,0.3794981914796415,0.46199758674067665
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.5}",Agglomerative,{},58,0.2360795877294718,0.916702777471754,0.16128364226420625,0.4609453715229649,0.4527810147543249,0.4193632339175945
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.5}",Agglomerative,{},72,0.20504379652292432,0.9161046030055615,0.12687445409773968,0.4283605510923526,0.46465668036606383,0.43571247489711795
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.5}",HDBSCAN,{},58,0.326589762547612,0.850479233226837,0.23817549847201308,0.4628292873333426,0.368025076315576,0.35083457387629075
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 15, 'min_dist': 0.5}",HDBSCAN,{},72,0.2821853627558452,0.8718527495215829,0.21153207335352284,0.43178609190282885,0.3861802452986409,0.43998637218719555
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.01}",Agglomerative,{},58,0.2733080755039826,0.9198274841989725,0.19174162155751265,0.48281984411244777,0.4586689242134743,0.4264129173527597
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.01}",Agglomerative,{},72,0.22193329060404685,0.9165738394558489,0.1428859325033687,0.43704162290873805,0.47178104987063213,0.4384213733960573
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.01}",HDBSCAN,{},58,0.26744329473481054,0.8798485386344811,0.2020005237120118,0.4636454555281857,0.3750677203567626,0.347544273472994
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.01}",HDBSCAN,{},72,0.2889346067627677,0.8881568800264404,0.22799423985897482,0.4371713345215181,0.39915444295737784,0.44663861318497866
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.1}",Agglomerative,{},58,0.25973602658673445,0.9187755784869369,0.18028584580019974,0.4758202936280415,0.4557272878941063,0.42636275123685174
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.1}",Agglomerative,{},72,0.21419784986658433,0.9164530620738619,0.13507726573867498,0.4339969837587674,0.49342556520791914,0.4483142146320553
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.1}",HDBSCAN,{},58,0.31673081212668636,0.8830075200241555,0.2526184570758315,0.47398397310070045,0.37855215132115544,0.34877984378239385
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.1}",HDBSCAN,{},72,0.25806294821682163,0.8819197075228804,0.19380768836761458,0.42905112562425457,0.40767387405594874,0.4326035185508314
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.5}",Agglomerative,{},58,0.25145806842365065,0.9180092949620327,0.17383189541603888,0.4625244974293898,0.4617286554085972,0.42196098222919537
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.5}",Agglomerative,{},72,0.21391185591821327,0.9164514299470783,0.13477994959497194,0.4324117449620086,0.48418701984413565,0.44889747220644377
