embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
sentence-transformers/all-MiniLM-L6-v2,Raw,HDBSCAN,6,0.4516270413908576,0.20482560375408776,-0.00010050204578010155,4.093439985804348e-05,0.29086653984881805,0.3086960614031186
sentence-transformers/all-MiniLM-L6-v2,Raw,HDBSCAN,64,0.17699253330876547,0.04058035930291525,2.078580522816865e-06,0.0004628417243553477,0.09684323117922936,0.10336890665373752
sentence-transformers/all-MiniLM-L6-v2,Raw,HDBSCAN,454,0.11184138041040914,0.08740082970052192,-0.00023844283994472792,0.005307110556121301,0.09346752607315077,0.23324794899652324
sentence-transformers/all-MiniLM-L6-v2,TriMAP,Agglomerative,6,0.5560282685516773,0.8028049021264375,0.4287312878712694,0.4291425582728191,0.5581365360493735,0.4623700488276413
sentence-transformers/all-MiniLM-L6-v2,TriMAP,Agglomerative,64,0.2209396468786851,0.9573345946278334,0.19676283449091678,0.4413462272031084,0.2383732806982244,0.21479534675712184
sentence-transformers/all-MiniLM-L6-v2,TriMAP,Agglomerative,454,0.14489375011627775,0.9849015468333131,0.10943843185392892,0.40228439200122446,0.23011153313181024,0.3643139394555269
sentence-transformers/all-MiniLM-L6-v2,TriMAP,DC,6,0.5237826248194826,0.7979559685745293,0.39545385048185655,0.4069336422493303,0.4971579581728454,0.41479958349818546
sentence-transformers/all-MiniLM-L6-v2,TriMAP,DC,64,0.1964684540888204,0.9576628428443582,0.1714350795513411,0.4010775718666046,0.1794921425125802,0.1621024283104391
sentence-transformers/all-MiniLM-L6-v2,TriMAP,DC,454,0.10700425999213742,0.9848314081699219,0.07508215828726271,0.3619261436502929,0.16471240667980785,0.29517215640212924
sentence-transformers/all-MiniLM-L6-v2,TriMAP,HDBSCAN,6,0.44644691485538485,0.21466887251215722,-0.0012902521445339829,0.012767738659533082,0.4297495616057633,0.39091795199111257
sentence-transformers/all-MiniLM-L6-v2,TriMAP,HDBSCAN,64,0.17383456916929277,0.11681871993462414,0.0015867781240506641,0.05223739249701342,0.20270765448851713,0.1718056714025087
sentence-transformers/all-MiniLM-L6-v2,TriMAP,HDBSCAN,454,0.10868879758348515,0.32652018043894754,0.0034003038794947027,0.13377132775958503,0.17647049113797217,0.28011845944501024
sentence-transformers/all-MiniLM-L6-v2,UMAP,Agglomerative,6,0.566035244632155,0.7861487444269071,0.422410773255603,0.41986254408784135,0.6068021547093374,0.5005338037198558
sentence-transformers/all-MiniLM-L6-v2,UMAP,Agglomerative,64,0.2828966528401852,0.917767960185268,0.22055104989397925,0.4579086653754845,0.28224624439027546,0.2706317007900924
sentence-transformers/all-MiniLM-L6-v2,UMAP,Agglomerative,454,0.18849970031572436,0.9852474707939729,0.1485911774336007,0.4645703808235801,0.2590812743574203,0.3956815011593281
sentence-transformers/all-MiniLM-L6-v2,UMAP,DC,6,0.3935593044042707,0.7625758368609277,0.24594938922032852,0.3686553548950134,0.5195592933214723,0.4352604493299586
sentence-transformers/all-MiniLM-L6-v2,UMAP,DC,64,0.24769090068111863,0.9607823932404168,0.22232760487764947,0.4635397851696165,0.26130748787003866,0.23083847460010973
sentence-transformers/all-MiniLM-L6-v2,UMAP,DC,454,0.1333871788881827,0.9851944799688674,0.09405338598830881,0.4238213996077634,0.22244126379081922,0.3522427533596547
sentence-transformers/all-MiniLM-L6-v2,UMAP,HDBSCAN,6,0.45114554550340774,0.21186699401198214,0.001776664319558108,0.008691816092529187,0.4841990592149504,0.4324451998396854
sentence-transformers/all-MiniLM-L6-v2,UMAP,HDBSCAN,64,0.17580323513764728,0.1886921547620439,0.005231911182646686,0.10379155224842163,0.2400071313108508,0.20028512450458194
sentence-transformers/all-MiniLM-L6-v2,UMAP,HDBSCAN,454,0.16854853723668548,0.9061449205681913,0.09163546949581405,0.4255138046575368,0.23097462875397554,0.35894449242447335
sentence-transformers/all-MiniLM-L6-v2,tSNE,Agglomerative,6,0.3447158377429245,0.7432185123547627,0.1851066631103994,0.25822508550654694,0.4560945829173202,0.3979719330645054
